m,n,m+n,computation_steps
5,5,10,2
5,105,110,5
5,205,210,5
5,305,310,5
5,405,410,5
5,505,510,5
5,605,610,5
5,705,710,5
5,805,810,5
5,905,910,5
105,5,110,6
105,105,210,46
105,205,310,57
105,305,410,65
105,405,510,75
105,505,610,71
105,605,710,81
105,705,810,74
105,805,910,85
105,905,1010,88
205,5,210,6
205,105,310,65
205,205,410,89
205,305,510,96
205,405,610,115
205,505,710,128
205,605,810,132
205,705,910,134
205,805,1010,147
205,905,1110,145
305,5,310,6
305,105,410,74
305,205,510,116
305,305,610,127
305,405,710,153
305,505,810,164
305,605,910,159
305,705,1010,176
305,805,1110,181
305,905,1210,202
405,5,410,6
405,105,510,84
405,205,610,126
405,305,710,156
405,405,810,178
405,505,910,197
405,605,1010,204
405,705,1110,215
405,805,1210,230
405,905,1310,244
505,5,510,6
505,105,610,96
505,205,710,142
505,305,810,172
505,405,910,200
505,505,1010,223
505,605,1110,232
505,705,1210,251
505,805,1310,253
505,905,1410,271
605,5,610,6
605,105,710,96
605,205,810,148
605,305,910,181
605,405,1010,217
605,505,1110,239
605,605,1210,261
605,705,1310,283
605,805,1410,293
605,905,1510,296
705,5,710,6
705,105,810,104
705,205,910,155
705,305,1010,196
705,405,1110,231
705,505,1210,263
705,605,1310,291
705,705,1410,306
705,805,1510,305
705,905,1610,337
805,5,810,6
805,105,910,107
805,205,1010,161
805,305,1110,220
805,405,1210,255
805,505,1310,276
805,605,1410,306
805,705,1510,320
805,805,1610,352
805,905,1710,371
905,5,910,6
905,105,1010,113
905,205,1110,175
905,305,1210,228
905,405,1310,269
905,505,1410,298
905,605,1510,318
905,705,1610,349
905,805,1710,365
905,905,1810,390
